epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1932.98,0.47386,0.31161,0.96176,0.98128,0.96393,0.98628,0.931,0.37721,0.2058,0.85465,0.067015,0.000333182,0.000333182
2,3839.07,0.49439,0.33164,0.97018,0.98048,0.96753,0.98814,0.92272,0.40086,0.20855,0.87085,0.0340148,0.000666329,0.000666329
3,5728.15,0.54753,0.38059,1.00256,0.96912,0.93608,0.97934,0.88899,0.46457,0.2943,0.91611,0.00101388,0.000998732,0.000998732
4,7619.2,0.60928,0.43779,1.0314,0.97433,0.95648,0.98577,0.90307,0.44801,0.25714,0.90644,0.000997489,0.000997489,0.000997489
5,9519.97,0.6114,0.44253,1.03606,0.96996,0.94804,0.9829,0.90083,0.44415,0.26375,0.89664,0.000995539,0.000995539,0.000995539
6,11417.7,0.61104,0.4392,1.03131,0.9729,0.9489,0.98272,0.90413,0.43379,0.26009,0.89087,0.000993036,0.000993036,0.000993036
7,13315.4,0.61301,0.44234,1.03288,0.9774,0.95555,0.98512,0.9097,0.42368,0.24132,0.88903,0.000989982,0.000989982,0.000989982
8,15213.1,0.60836,0.43581,1.03509,0.97417,0.94751,0.98155,0.91225,0.41401,0.25015,0.88598,0.000986381,0.000986381,0.000986381
9,17114,0.60672,0.43432,1.0307,0.97499,0.95672,0.98394,0.91581,0.40667,0.23361,0.87526,0.000982236,0.000982236,0.000982236
10,19011.8,0.60524,0.42925,1.02846,0.97798,0.9645,0.98758,0.92021,0.39877,0.21682,0.87135,0.000977553,0.000977553,0.000977553
11,20910.1,0.5994,0.43002,1.0301,0.97726,0.96613,0.988,0.92198,0.39297,0.2125,0.87216,0.000972337,0.000972337,0.000972337
12,22809.3,0.59445,0.42357,1.02667,0.98083,0.96818,0.98895,0.92469,0.3887,0.20482,0.8705,0.000966594,0.000966594,0.000966594
13,24709.2,0.59265,0.42157,1.02244,0.9858,0.96511,0.98925,0.92592,0.38479,0.20183,0.86694,0.000960329,0.000960329,0.000960329
14,26604.8,0.58883,0.41862,1.02272,0.98217,0.96985,0.98968,0.92688,0.38182,0.19822,0.86571,0.00095355,0.00095355,0.00095355
15,28503.4,0.5867,0.41617,1.01928,0.98428,0.97046,0.99001,0.92824,0.37967,0.19439,0.86406,0.000946265,0.000946265,0.000946265
16,30405,0.5832,0.40998,1.01574,0.98501,0.9706,0.99026,0.9291,0.37752,0.19165,0.86244,0.000938481,0.000938481,0.000938481
17,32301.7,0.58098,0.40742,1.01561,0.98508,0.97085,0.99059,0.93024,0.37511,0.18884,0.86093,0.000930208,0.000930208,0.000930208
18,34201.8,0.57462,0.40545,1.01614,0.98363,0.97311,0.99071,0.93103,0.37337,0.18727,0.85992,0.000921454,0.000921454,0.000921454
19,36101.5,0.57517,0.40504,1.01263,0.9844,0.97278,0.99071,0.93153,0.37196,0.18653,0.85902,0.00091223,0.00091223,0.00091223
